City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Candido Mota,BR,-22.7464,-50.3869,76.78,79,64,3.62,broken clouds
302,Tomatlan,MX,19.9333,-105.25,79.48,47,81,9.19,broken clouds
303,Shiyan,CN,32.6475,110.7781,37.31,44,78,5.01,broken clouds
304,Sao Filipe,CV,14.8961,-24.4956,75.29,67,1,16.26,clear sky
305,Columbia,US,34.0007,-81.0348,67.68,76,0,5.75,clear sky
306,Cotonou,BJ,6.3654,2.4183,80.19,80,44,10.51,scattered clouds
307,Kodiak,US,57.79,-152.4072,24.31,80,0,0.0,clear sky
308,Acarau,BR,-2.8856,-40.12,78.84,78,62,13.96,light rain
309,Islahiye,TR,37.025,36.6306,45.93,89,12,3.53,few clouds
310,Betafo,MG,-19.8333,46.85,61.36,84,100,11.88,overcast clouds
311,Izberbash,RU,42.5696,47.8645,41.09,84,70,8.08,broken clouds
312,Balingasay,PH,16.3573,119.8564,77.99,72,15,12.37,few clouds
313,Tilichiki,RU,60.4667,166.1,-9.81,92,100,9.06,overcast clouds
314,Inhambane,MZ,-23.865,35.3833,78.62,88,94,8.28,overcast clouds
315,Coria,ES,39.9879,-6.5377,39.45,78,3,6.15,clear sky
316,Srednekolymsk,RU,67.45,153.6833,-29.6,98,100,4.92,overcast clouds
317,Kamenka,RU,51.3223,42.7678,21.34,80,6,14.43,clear sky
318,Saint-Pierre,RE,-21.3393,55.4781,84.56,94,75,16.11,light rain
319,Suntar,RU,62.1444,117.6319,-67.43,100,81,2.59,broken clouds
320,Shellbrook,CA,53.2168,-106.4011,13.23,96,98,2.77,overcast clouds
321,Yarmouth,US,41.7057,-70.2286,48.67,76,94,10.0,overcast clouds
322,Matamoros,MX,25.5333,-103.25,79.11,9,15,4.59,few clouds
323,Makakilo City,US,21.3469,-158.0858,81.61,53,0,8.05,clear sky
324,Valparaiso,CL,-33.0393,-71.6273,69.44,100,0,11.5,clear sky
325,Queenstown,ZA,-31.8976,26.8753,71.37,56,69,3.85,broken clouds
326,Palana,RU,59.1167,159.9667,-1.26,94,100,11.99,overcast clouds
327,Abtenau,AT,47.5637,13.346,32.04,96,100,3.98,light snow
328,Caravelas,BR,-17.7125,-39.2481,76.35,85,10,5.57,clear sky
329,Vila Franca Do Campo,PT,37.7167,-25.4333,52.21,78,31,5.82,scattered clouds
330,Esperance,AU,-33.8667,121.9,58.06,77,100,10.78,overcast clouds
331,Ca Mau,VN,9.1769,105.15,73.49,74,79,3.71,broken clouds
332,Saint Anthony,US,45.0205,-93.218,33.58,83,100,13.8,overcast clouds
333,Kurkent,RU,41.712,48.1153,31.82,75,8,4.54,clear sky
334,Chaozhou,CN,23.6651,116.6379,49.86,75,23,3.36,few clouds
335,Le Port,RE,-20.9373,55.2919,84.88,93,100,6.44,light rain
336,Ulladulla,AU,-35.35,150.4667,58.87,87,100,13.4,overcast clouds
337,Sidrolandia,BR,-20.9319,-54.9614,79.56,69,90,4.79,overcast clouds
338,Manicore,BR,-5.8092,-61.3003,73.54,90,100,3.4,overcast clouds
339,Revelstoke,CA,50.9832,-118.2023,37.42,81,100,13.8,overcast clouds
340,Gornopravdinsk,RU,60.05,69.9,9.0,98,90,4.74,overcast clouds
341,Qui Nhon,VN,13.7667,109.2333,68.49,89,100,16.08,overcast clouds
342,Xichang,CN,27.8964,102.2634,31.48,71,0,2.28,clear sky
